,Date,Offset,Sleep
0,2017-12-01 21:00:00,-60,0
1,2017-12-01 21:01:00,-59,0
2,2017-12-01 21:02:00,-58,0
3,2017-12-01 21:03:00,-57,0
4,2017-12-01 21:04:00,-56,0
5,2017-12-01 21:05:00,-55,0
6,2017-12-01 21:06:00,-54,0
7,2017-12-01 21:07:00,-53,0
8,2017-12-01 21:08:00,-52,0
9,2017-12-01 21:09:00,-51,0
10,2017-12-01 21:10:00,-50,0
11,2017-12-01 21:11:00,-49,0
12,2017-12-01 21:12:00,-48,0
13,2017-12-01 21:13:00,-47,0
14,2017-12-01 21:14:00,-46,0
15,2017-12-01 21:15:00,-45,0
16,2017-12-01 21:16:00,-44,0
17,2017-12-01 21:17:00,-43,0
18,2017-12-01 21:18:00,-42,0
19,2017-12-01 21:19:00,-41,0
20,2017-12-01 21:20:00,-40,0
21,2017-12-01 21:21:00,-39,0
22,2017-12-01 21:22:00,-38,0
23,2017-12-01 21:23:00,-37,0
24,2017-12-01 21:24:00,-36,0
25,2017-12-01 21:25:00,-35,0
26,2017-12-01 21:26:00,-34,0
27,2017-12-01 21:27:00,-33,0
28,2017-12-01 21:28:00,-32,0
29,2017-12-01 21:29:00,-31,0
30,2017-12-01 21:30:00,-30,0
31,2017-12-01 21:31:00,-29,0
32,2017-12-01 21:32:00,-28,0
33,2017-12-01 21:33:00,-27,0
34,2017-12-01 21:34:00,-26,0
35,2017-12-01 21:35:00,-25,0
36,2017-12-01 21:36:00,-24,0
37,2017-12-01 21:37:00,-23,0
38,2017-12-01 21:38:00,-22,0
39,2017-12-01 21:39:00,-21,0
40,2017-12-01 21:40:00,-20,0
41,2017-12-01 21:41:00,-19,0
42,2017-12-01 21:42:00,-18,0
43,2017-12-01 21:43:00,-17,0
44,2017-12-01 21:44:00,-16,0
45,2017-12-01 21:45:00,-15,0
46,2017-12-01 21:46:00,-14,0
47,2017-12-01 21:47:00,-13,0
48,2017-12-01 21:48:00,-12,0
49,2017-12-01 21:49:00,-11,0
50,2017-12-01 21:50:00,-10,0
51,2017-12-01 21:51:00,-9,0
52,2017-12-01 21:52:00,-8,0
53,2017-12-01 21:53:00,-7,0
54,2017-12-01 21:54:00,-6,0
55,2017-12-01 21:55:00,-5,0
56,2017-12-01 21:56:00,-4,0
57,2017-12-01 21:57:00,-3,0
58,2017-12-01 21:58:00,-2,0
59,2017-12-01 21:59:00,-1,0
60,2017-12-01 22:00:00,0,0
61,2017-12-01 22:01:00,1,0
62,2017-12-01 22:02:00,2,0
63,2017-12-01 22:03:00,3,0
64,2017-12-01 22:04:00,4,0
65,2017-12-01 22:05:00,5,0
66,2017-12-01 22:06:00,6,0
67,2017-12-01 22:07:00,7,0
68,2017-12-01 22:08:00,8,0
69,2017-12-01 22:09:00,9,0
70,2017-12-01 22:10:00,10,0
71,2017-12-01 22:11:00,11,0
72,2017-12-01 22:12:00,12,0
73,2017-12-01 22:13:00,13,0
74,2017-12-01 22:14:00,14,0
75,2017-12-01 22:15:00,15,0
76,2017-12-01 22:16:00,16,1
77,2017-12-01 22:17:00,17,1
78,2017-12-01 22:18:00,18,1
79,2017-12-01 22:19:00,19,1
80,2017-12-01 22:20:00,20,1
81,2017-12-01 22:21:00,21,1
82,2017-12-01 22:22:00,22,1
83,2017-12-01 22:23:00,23,1
84,2017-12-01 22:24:00,24,1
85,2017-12-01 22:25:00,25,1
86,2017-12-01 22:26:00,26,1
87,2017-12-01 22:27:00,27,1
88,2017-12-01 22:28:00,28,1
89,2017-12-01 22:29:00,29,1
90,2017-12-01 22:30:00,30,1
91,2017-12-01 22:31:00,31,1
92,2017-12-01 22:32:00,32,1
93,2017-12-01 22:33:00,33,1
94,2017-12-01 22:34:00,34,1
95,2017-12-01 22:35:00,35,1
96,2017-12-01 22:36:00,36,1
97,2017-12-01 22:37:00,37,1
98,2017-12-01 22:38:00,38,1
99,2017-12-01 22:39:00,39,1
100,2017-12-01 22:40:00,40,1
101,2017-12-01 22:41:00,41,1
102,2017-12-01 22:42:00,42,1
103,2017-12-01 22:43:00,43,1
104,2017-12-01 22:44:00,44,1
105,2017-12-01 22:45:00,45,1
